,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_basement,year_since_1st_renovation,city,statezip,price
25,3.0,2.5,2090,10834,1.0,0,0,4,730,87,14,2,285000.0
26,3.0,1.75,2360,7291,1.0,0,0,4,1000,48,35,63,615000.0
27,4.0,2.25,2200,11250,1.5,0,0,5,900,20,19,21,698000.0
28,5.0,2.5,2820,67518,2.0,0,0,3,0,114,16,17,675000.0
29,3.0,2.5,2600,4750,1.0,0,0,4,900,99,35,56,790000.0
30,4.0,1.75,1560,8700,1.0,0,0,4,0,67,19,22,382500.0
31,4.0,2.5,2860,3345,2.0,0,0,3,670,103,42,41,499950.0
32,4.0,2.0,1820,5000,1.5,0,1,3,180,110,35,54,650000.0
33,4.0,2.5,2820,8408,2.0,0,0,3,0,114,36,67,625000.0
34,4.0,2.5,3630,42884,1.5,0,0,3,1330,114,1,45,400000.0
35,3.0,2.5,3240,33151,2.0,0,2,3,0,95,14,13,604000.0
36,2.0,1.0,800,4850,1.0,0,0,4,0,44,35,50,440000.0
37,3.0,3.0,1850,19966,1.0,0,0,4,760,92,21,23,287200.0
38,3.0,2.0,1960,13100,1.0,0,2,5,310,57,26,68,403000.0
39,3.0,2.5,2390,6550,1.0,0,2,4,950,109,35,55,750000.0
40,3.0,2.25,1580,16215,1.0,0,0,4,0,100,13,14,335000.0
41,4.0,2.0,1480,8625,1.0,0,0,4,0,74,32,33,260000.0
42,2.0,1.0,850,6174,1.0,0,0,4,0,83,36,67,308500.0
43,3.0,2.5,1770,2875,2.0,0,0,3,0,109,35,55,439950.0
44,2.0,1.0,1210,9400,1.0,0,0,2,0,49,35,49,235000.0
45,3.0,1.0,1160,9180,1.0,0,0,3,0,97,42,44,315000.0
46,3.0,2.25,1970,35100,2.0,0,0,4,0,77,16,15,437500.0
47,3.0,2.5,1930,10460,2.0,0,0,3,0,96,32,37,407500.0
48,3.0,2.5,1270,1180,3.0,0,0,3,0,101,35,50,445700.0
49,4.0,2.5,3310,42998,2.0,0,0,3,0,101,31,31,838000.0
50,4.0,2.75,2710,37277,2.0,0,0,3,0,100,16,15,630000.0
51,3.0,1.75,2910,35200,1.5,0,0,3,0,114,33,43,550000.0
52,3.0,2.0,2710,4500,1.5,0,0,4,830,29,35,54,805000.0
53,3.0,1.75,1800,23103,1.0,0,0,3,0,97,7,10,284000.0
54,5.0,2.5,2210,9655,1.0,0,0,3,750,76,5,9,470000.0
55,4.0,1.5,1920,10000,1.0,0,0,4,850,79,3,5,430000.0
56,4.0,1.75,2190,125452,1.0,0,2,3,0,97,1,45,491500.0
57,5.0,3.25,3660,11995,2.0,0,2,3,0,106,38,38,785000.0
58,3.0,3.25,1320,1327,2.0,0,0,3,280,108,35,74,385000.0
59,2.0,2.5,1630,1368,2.0,0,0,3,350,109,35,49,295000.0
60,4.0,2.5,3310,6500,2.0,0,0,3,0,12,38,38,555000.0
61,3.0,2.5,2680,5539,2.0,0,0,3,0,23,27,27,459990.0
62,4.0,3.25,2730,54014,1.0,0,0,3,1170,107,32,37,625000.0
63,3.0,2.5,2540,5050,2.0,0,0,3,0,106,18,26,300000.0
64,4.0,2.75,2920,6605,2.0,0,0,3,0,12,32,37,625000.0
65,2.0,1.0,900,5000,1.0,0,0,3,0,44,35,56,553000.0
66,3.0,2.5,1650,14054,1.0,0,0,4,520,86,16,15,379880.0
67,3.0,1.0,1010,9945,1.0,0,0,4,0,73,38,38,310000.0
68,2.0,2.5,2680,7392,1.0,0,0,3,0,103,31,32,775000.0
69,3.0,2.5,2200,7350,1.0,0,0,5,630,88,32,36,365000.0
70,4.0,2.5,2530,9933,2.0,0,2,3,520,109,1,45,331950.0
71,3.0,2.5,2850,7130,2.0,0,0,3,860,80,35,59,783500.0
72,4.0,2.0,2280,6010,1.0,0,0,3,1140,105,35,59,628000.0
73,3.0,2.5,1900,8744,2.0,0,0,3,0,100,33,42,560000.0
74,3.0,1.0,1330,77972,1.0,0,0,3,0,54,19,21,900000.0
75,2.0,3.0,1270,1175,2.0,0,0,3,160,100,35,47,531000.0
76,4.0,3.0,2170,4000,2.0,0,0,4,560,111,35,53,831000.0
77,4.0,2.5,2730,10281,2.0,0,2,3,0,96,33,42,780000.0
78,4.0,2.5,2120,10202,1.0,0,0,4,500,101,3,4,755000.0
79,3.0,2.5,2490,4343,2.0,0,0,3,0,103,16,17,705380.0
80,4.0,2.25,1990,7712,1.0,0,0,3,780,113,16,15,627000.0
81,4.0,3.0,3690,9892,2.0,0,0,3,0,106,33,43,865000.0
82,2.0,1.0,2540,7000,1.0,0,0,5,1220,42,35,57,580000.0
83,3.0,2.25,1800,36704,1.0,0,0,4,440,100,16,15,410000.0
84,4.0,3.0,2340,7048,1.0,0,0,4,1000,79,19,22,485000.0
85,2.0,1.75,2110,9519,1.0,0,0,2,0,48,36,67,400000.0
86,2.0,1.0,1140,5400,1.0,0,0,5,0,8,35,53,549000.0
87,3.0,1.75,1480,2185,2.5,0,0,3,0,105,19,21,620000.0
88,2.0,3.0,1410,1240,2.0,0,0,3,270,106,35,63,405000.0
89,2.0,1.0,1200,8063,1.0,0,0,4,0,72,10,73,232000.0
90,5.0,2.5,3180,13806,2.0,0,0,4,0,90,19,21,800866.0
91,3.0,1.5,2160,9000,1.0,0,2,4,760,85,35,70,650000.0
92,6.0,1.75,2920,5000,2.5,0,0,4,140,8,35,59,823000.0
93,3.0,2.0,2350,5700,1.5,0,0,4,540,89,35,53,770000.0
94,3.0,1.75,1560,5520,1.0,0,0,4,780,44,35,74,524000.0
95,5.0,2.75,2740,8426,1.0,0,0,4,1370,101,3,5,541125.0
96,3.0,2.5,1680,2000,3.0,0,0,3,0,98,35,48,670000.0
97,5.0,2.5,3090,12750,1.0,0,0,3,1340,97,14,13,384900.0
98,3.0,2.25,1410,1332,3.0,0,0,3,0,105,35,47,406100.0
99,5.0,3.5,4010,8510,2.0,0,1,5,1160,71,35,48,1395000.0
100,4.0,2.5,3180,21904,2.0,0,3,3,0,100,32,37,736500.0
101,3.0,2.25,2010,6000,1.0,0,0,3,680,75,31,31,570000.0
102,3.0,1.75,1330,7500,1.0,0,0,3,0,104,3,3,787000.0
103,4.0,2.5,2370,6500,2.0,0,0,3,0,106,1,45,328000.0
104,5.0,2.0,1840,9240,1.0,0,0,4,300,58,35,62,435000.0
105,4.0,2.5,2910,6479,2.0,0,0,3,0,106,38,38,499000.0
106,4.0,1.0,2070,7519,1.0,0,0,3,910,108,3,7,501000.0
107,4.0,2.5,4340,141570,2.5,0,0,3,0,92,31,32,1090000.0
108,2.0,1.0,840,5510,1.0,0,0,3,0,105,35,63,400000.0
109,4.0,1.5,1240,9600,1.0,0,0,3,0,71,14,13,220000.0
110,4.0,1.0,1390,4240,1.0,0,0,3,340,111,35,47,657100.0
111,4.0,2.75,2310,5000,2.0,0,0,3,0,106,21,23,309950.0
112,3.0,2.0,1050,10072,1.0,0,0,3,0,86,11,11,300000.0
113,5.0,1.75,2550,71874,1.0,0,0,5,740,60,16,15,525888.0
114,4.0,1.75,2010,3600,1.5,0,0,3,0,2,35,58,740000.0
115,5.0,1.0,1120,9022,1.5,0,0,4,0,62,19,22,340000.0
116,3.0,2.5,2230,4000,2.0,0,0,3,0,105,35,64,398750.0
117,2.0,1.0,810,7158,1.0,0,0,5,0,44,6,69,206000.0
118,5.0,2.75,3190,16920,1.0,0,3,3,1500,76,3,5,1030000.0
119,3.0,1.75,1670,39639,1.0,0,0,4,0,92,33,43,600000.0
120,4.0,1.75,1970,9389,1.0,0,0,5,830,60,36,62,379950.0
121,3.0,1.0,1450,6000,1.0,0,0,4,0,83,35,57,287000.0
122,7.0,8.0,13540,307752,3.0,0,4,3,4130,99,31,32,2280000.0
123,3.0,2.5,1880,7838,2.0,0,0,3,0,94,32,33,309950.0
124,3.0,1.75,1880,6360,1.0,0,0,4,840,45,35,54,600000.0
125,3.0,2.0,1410,6030,1.5,0,0,4,0,30,35,47,418000.0
126,4.0,2.0,1480,3844,1.5,0,0,5,0,70,35,62,449250.0
127,2.0,1.0,1140,5250,1.5,0,0,4,0,85,35,62,329950.0
128,3.0,1.75,1920,9306,1.0,0,0,3,920,84,1,0,245000.0
129,4.0,2.5,2910,6338,2.0,0,0,3,0,108,32,37,549000.0
130,3.0,2.5,3240,7857,2.0,0,0,3,0,94,33,43,800000.0
131,3.0,2.0,1550,15040,1.0,0,0,4,0,72,32,37,249950.0
132,5.0,2.0,2050,10200,1.0,0,0,3,620,101,10,73,210000.0
133,2.0,2.5,2220,4000,2.0,0,0,3,0,100,35,53,1425000.0
134,2.0,1.0,1770,8640,1.5,0,0,3,250,98,35,56,585000.0
135,4.0,1.75,2300,11700,1.0,0,0,4,340,77,31,31,615000.0
136,3.0,2.0,1800,5000,1.0,0,0,4,720,82,35,54,618500.0
137,4.0,1.75,2010,9211,1.0,0,0,3,540,104,19,22,487585.0
138,3.0,2.5,1790,2700,2.0,0,0,3,0,110,16,15,509900.0
139,4.0,2.5,2440,6651,2.0,0,0,3,0,114,35,56,631625.0
140,3.0,2.5,1940,3211,2.0,0,0,3,0,109,16,15,555000.0
141,2.0,1.5,1160,1438,2.0,0,0,3,0,101,35,64,340000.0
142,4.0,2.5,3400,9692,2.0,0,0,3,0,107,31,31,830000.0
143,4.0,4.25,4420,5750,2.0,0,0,3,1010,106,16,15,890000.0
144,3.0,3.0,1571,2017,3.0,0,0,3,0,108,35,60,366750.0
145,3.0,2.25,1620,998,2.5,0,0,3,80,110,16,17,415000.0
146,3.0,2.5,1408,989,3.0,0,0,3,0,105,35,54,416286.0
147,3.0,2.5,3040,4535,2.0,0,0,3,0,107,32,34,478000.0
148,5.0,3.5,4490,6000,2.0,0,0,3,1290,106,16,15,890000.0
149,2.0,2.5,1590,1426,2.0,0,0,3,0,114,16,17,419190.0
150,4.0,2.5,2450,4247,2.0,0,0,3,0,23,31,31,712198.0
151,4.0,2.0,1440,7680,1.0,0,0,3,240,71,19,22,397000.0
152,2.0,2.0,1100,3000,1.5,0,0,3,0,105,35,56,450000.0
153,3.0,1.0,1350,7740,1.0,0,0,4,490,88,35,60,353000.0
154,4.0,2.5,2150,37981,2.0,0,0,3,0,85,31,31,609000.0
155,3.0,1.75,1490,8366,1.0,0,0,4,480,75,9,26,234000.0
156,3.0,2.0,2000,7000,2.0,0,0,3,0,86,35,63,561000.0
157,2.0,1.0,1030,4400,1.0,0,0,3,0,111,35,56,469000.0
158,2.0,1.0,720,6687,1.0,0,0,3,0,99,35,56,329350.0
159,5.0,2.0,2020,5000,1.5,0,0,4,0,38,35,56,488000.0
160,3.0,1.75,1580,8151,1.0,0,1,4,480,62,10,73,279900.0
161,4.0,2.5,2110,13850,2.0,0,0,3,0,100,16,15,606000.0
162,4.0,2.0,1300,7054,1.0,0,0,3,0,113,35,65,312000.0
163,3.0,1.5,1630,7475,1.0,0,1,3,470,96,35,54,650000.0
164,4.0,2.75,3370,8103,1.0,0,3,3,1400,114,35,63,1135000.0
165,4.0,2.5,1890,6156,1.0,0,0,3,910,80,35,49,325000.0
166,4.0,2.0,1520,7983,1.0,0,0,5,0,67,15,22,425000.0
167,2.0,1.0,900,5160,1.0,0,0,3,0,108,35,49,219000.0
168,3.0,1.0,1050,6874,1.0,0,0,3,0,105,36,62,250000.0
169,3.0,1.75,1260,6500,1.0,0,0,4,0,66,3,7,390000.0
170,6.0,3.0,3470,117612,1.5,0,0,3,0,111,17,16,475000.0
171,4.0,2.5,2290,12047,2.0,0,0,4,0,88,3,5,736000.0
172,4.0,2.25,2810,23400,1.0,0,1,3,1100,104,10,73,407000.0
173,3.0,2.5,1650,13816,2.0,0,0,3,0,106,7,10,272000.0
174,3.0,2.25,1640,14374,1.0,0,0,4,500,63,6,66,362000.0
175,3.0,2.5,1850,10109,2.0,0,0,3,0,91,19,22,535000.0
176,4.0,2.5,2000,5390,2.0,0,0,3,0,103,18,26,284000.0
177,3.0,1.5,1410,9647,1.0,0,0,3,0,104,36,70,367500.0
178,4.0,1.75,1500,11600,1.0,0,0,4,500,109,17,16,379900.0
179,3.0,2.5,2460,54885,2.0,0,0,4,0,80,32,37,520000.0
180,3.0,1.0,1010,7034,1.0,0,0,3,0,105,32,35,175000.0
181,2.0,2.25,1230,929,2.0,0,0,3,210,103,35,53,460000.0
182,4.0,2.5,2331,3826,2.0,0,0,3,0,107,32,36,345000.0
183,5.0,2.5,2240,7770,1.0,0,0,3,900,78,19,22,455000.0
184,4.0,3.0,2450,10117,1.0,0,0,5,870,67,3,5,610000.0
185,4.0,3.0,3100,15480,2.0,0,0,3,700,96,17,16,563000.0
186,4.0,2.0,2060,5000,1.0,0,0,3,1030,113,35,56,612500.0
187,3.0,1.75,1850,7684,1.0,0,0,3,530,114,14,13,218000.0
188,4.0,1.75,1840,10720,1.0,0,0,3,880,104,3,7,404000.0
189,4.0,2.0,3740,32417,2.0,0,0,3,0,100,31,32,860000.0
190,3.0,1.5,1420,8580,1.0,0,0,3,0,103,14,13,136500.0
191,3.0,1.0,1510,6083,1.0,0,0,4,650,101,35,54,313950.0
192,3.0,1.75,2130,6500,1.0,0,2,3,960,105,35,74,575000.0
193,4.0,2.25,3490,6906,2.0,0,0,4,1210,28,35,74,1225000.0
194,3.0,1.75,1630,11800,1.0,0,0,4,0,71,27,27,280000.0
195,3.0,2.5,1790,7167,2.0,0,0,3,0,89,33,42,515000.0
196,4.0,2.5,2000,5684,2.0,0,0,3,0,96,17,16,513000.0
197,4.0,2.25,2260,29930,2.0,0,0,4,860,77,3,5,599000.0
198,4.0,2.5,3030,7864,2.0,0,0,3,0,99,33,42,685000.0
199,3.0,1.5,1310,8160,1.0,0,0,3,0,105,35,62,365000.0
200,4.0,2.5,3880,14550,2.0,0,0,3,0,100,33,42,762300.0
201,4.0,3.25,3760,10920,1.5,0,0,5,1360,50,35,48,1580000.0
202,5.0,2.25,3040,8111,2.0,0,0,3,0,84,31,31,562000.0
203,5.0,2.5,2910,9636,1.0,0,0,4,1220,64,3,7,530000.0
204,3.0,2.5,2970,11985,1.0,0,0,3,1200,95,33,42,525000.0
205,2.0,1.75,1660,6000,1.0,0,0,3,500,99,35,48,484000.0
206,4.0,2.5,3200,12369,2.0,0,0,3,0,106,25,37,725126.0
207,4.0,2.0,2680,18768,1.0,0,0,5,0,65,1,0,360000.0
208,3.0,1.0,1230,9568,1.0,0,0,5,0,62,25,34,387000.0
209,4.0,2.5,2740,45732,2.0,0,0,3,0,95,42,44,483500.0
210,4.0,3.5,3380,8330,2.0,0,0,3,0,100,36,70,655500.0
211,3.0,1.0,1110,6250,1.0,0,0,3,0,101,35,54,345000.0
212,5.0,2.75,1800,3780,1.5,0,0,3,400,103,35,47,533000.0
213,3.0,1.75,1900,5520,1.0,0,0,3,620,82,35,57,385000.0
214,2.0,1.0,930,36478,1.0,0,2,3,0,94,3,5,675000.0
215,3.0,1.75,1690,7735,1.0,0,0,4,630,92,1,0,197000.0
216,3.0,2.0,1420,4080,1.5,0,0,3,0,113,35,47,485000.0
217,5.0,4.0,4510,15175,2.0,0,0,3,0,102,23,25,1870000.0
218,3.0,2.25,1980,8000,1.0,0,0,4,420,74,14,13,295000.0
219,2.0,1.75,1170,2400,1.0,0,0,4,430,3,35,47,499000.0
220,3.0,2.5,2200,1970,2.0,0,0,3,590,108,35,46,1050000.0
221,3.0,1.5,800,8850,1.0,0,0,4,0,59,14,13,191000.0
222,3.0,2.5,1480,1171,3.0,0,0,3,0,106,35,53,500000.0
223,5.0,3.75,2890,5000,1.0,0,0,3,1580,106,35,64,390000.0
224,3.0,2.5,2690,4047,3.0,0,0,3,0,114,35,56,979000.0
225,4.0,3.25,3569,8327,2.0,0,0,3,0,23,32,33,580000.0
226,3.0,2.0,1270,1320,3.0,0,0,3,0,106,35,47,369950.0
227,5.0,5.0,4490,10279,2.0,0,0,3,560,23,3,3,1800000.0
228,4.0,2.5,3040,6425,2.0,0,0,3,0,108,31,31,776000.0
229,3.0,2.25,1170,1249,3.0,0,0,3,0,114,35,50,519950.0
230,5.0,2.25,2060,8632,1.0,0,0,3,1030,103,6,65,255000.0
231,3.0,1.0,990,6000,1.0,0,0,3,0,102,35,48,495000.0
232,4.0,2.5,2430,5203,2.0,0,0,3,0,103,36,67,510000.0
233,4.0,4.0,4460,103382,2.0,0,0,3,0,101,31,32,1150000.0
234,3.0,1.75,1250,10122,1.0,0,0,3,0,94,4,8,253000.0
235,3.0,2.75,1540,6760,1.0,0,0,5,330,80,19,22,503000.0
236,3.0,2.5,1600,7000,2.0,0,0,4,0,93,21,23,275000.0
237,3.0,1.0,1110,8423,1.0,0,0,3,0,108,6,68,249000.0
238,3.0,1.75,1840,10723,1.0,0,0,4,620,74,32,36,310000.0
239,3.0,2.75,2520,5401,1.0,0,0,4,1160,89,35,58,750000.0
240,3.0,2.5,2680,327135,2.0,0,0,3,0,95,30,30,630000.0
241,9.0,4.5,3830,6988,2.5,0,0,3,1380,103,35,47,599999.0
242,4.0,2.75,2410,9549,1.0,0,0,4,630,56,19,21,758000.0
243,4.0,1.75,1720,10018,1.0,0,0,5,0,60,9,26,248500.0
244,3.0,1.75,2070,37904,1.0,0,0,4,650,73,18,19,310000.0
245,3.0,2.0,1760,9055,2.0,0,0,4,0,85,31,31,460000.0
246,3.0,1.75,1680,10500,1.0,0,0,4,0,59,3,4,675000.0
247,2.0,2.0,1550,2400,1.5,0,0,4,0,71,35,47,526000.0
248,3.0,3.0,4120,60392,2.0,0,2,3,940,94,7,10,560000.0
249,4.0,3.0,1830,9548,2.0,0,0,3,0,91,5,16,415000.0
250,3.0,1.0,1400,7410,1.0,0,0,3,0,44,6,68,246000.0
251,3.0,1.75,1870,12381,1.0,0,0,4,0,101,14,2,314500.0
252,7.0,4.5,6210,8856,2.5,0,2,5,1450,10,35,52,3200000.0
253,2.0,1.5,1040,3500,1.5,0,0,4,0,4,35,64,420000.0
254,3.0,1.75,2720,149410,1.5,0,0,3,0,100,7,10,535000.0
255,3.0,1.0,1010,9360,1.0,0,0,3,0,113,19,21,350000.0
256,3.0,1.75,1580,9147,1.0,0,1,4,370,67,3,7,515000.0
257,4.0,2.75,2600,6050,2.0,0,0,5,640,49,35,55,749950.0
258,3.0,2.5,1920,9180,2.0,0,0,3,0,100,32,35,230000.0
259,3.0,2.0,2350,5080,1.5,0,0,3,570,29,35,57,568000.0
260,1.0,1.0,1100,4373,1.0,0,0,2,280,47,6,68,250000.0
261,4.0,2.0,2510,13695,1.0,0,0,4,1230,101,19,21,581000.0
262,3.0,2.5,3240,108366,2.0,0,0,4,0,91,18,26,651000.0
263,3.0,2.5,2460,108900,1.0,0,0,4,600,77,16,15,600000.0
264,2.0,1.0,1010,3885,1.5,0,0,4,0,90,35,53,500000.0
265,2.0,1.0,820,2723,1.0,0,0,3,0,100,35,47,475000.0
266,5.0,2.5,2420,8560,1.0,0,2,3,800,78,35,57,352000.0
267,3.0,2.25,1770,8165,2.0,0,0,3,0,104,19,22,420000.0
268,2.0,2.0,1350,3900,1.0,0,0,3,0,103,31,32,428000.0
269,3.0,1.75,1960,4788,1.0,0,0,4,870,20,35,54,599000.0
270,4.0,2.5,3305,16164,1.5,0,0,5,1060,56,36,62,492000.0
271,2.0,2.25,2550,5663,1.0,0,0,3,830,111,32,34,630000.0
272,5.0,3.75,4130,226076,2.0,0,0,3,960,85,42,44,900000.0
273,4.0,1.5,2310,13300,1.0,0,0,3,420,105,8,3,1110000.0
274,4.0,2.0,1650,5000,1.0,0,0,3,0,105,35,56,575000.0
275,4.0,2.5,2650,4316,1.5,0,0,3,1130,113,35,55,705000.0
276,4.0,2.25,1890,5940,1.0,0,1,3,420,108,35,53,940000.0
277,3.0,1.75,2190,8000,1.0,0,0,4,0,67,14,13,313000.0
278,3.0,2.5,2030,6500,2.0,0,0,3,0,100,16,15,618080.0
279,3.0,3.0,2270,5175,2.0,0,0,3,140,102,32,34,640000.0
280,3.0,2.0,1610,4160,1.0,0,0,4,600,17,35,63,485000.0
281,2.0,1.0,760,3001,1.0,0,0,3,0,83,35,64,300000.0
282,2.0,1.0,1640,17335,1.0,0,0,3,800,78,31,32,379500.0
283,3.0,2.25,1630,12295,2.0,0,0,4,0,85,32,36,339950.0
284,6.0,2.5,3560,6480,2.5,0,0,4,0,45,35,53,1500000.0
285,3.0,3.0,2960,5500,2.0,0,2,3,520,90,35,74,1340000.0
286,3.0,2.5,1940,37565,1.0,0,0,4,0,87,16,15,500000.0
287,3.0,2.0,1410,7566,1.0,0,0,3,0,85,18,18,239900.0
288,3.0,1.0,1040,16986,1.0,0,0,4,0,68,32,37,314950.0
289,2.0,1.0,820,6400,1.0,0,0,4,0,44,35,61,361280.0
290,2.0,1.0,910,22000,1.0,0,0,3,0,101,0,0,100000.0
291,7.0,5.75,3700,7647,2.0,0,1,3,0,84,20,67,540000.0
292,4.0,2.5,2180,11200,1.0,0,0,4,0,68,42,41,480500.0
293,3.0,2.5,1600,4271,2.0,0,0,3,0,100,1,0,280000.0
294,3.0,1.75,1500,6180,1.0,0,0,4,440,88,35,57,440000.0
295,3.0,1.0,1340,4284,1.0,0,0,3,260,106,35,48,530000.0
296,3.0,2.0,1860,13374,1.0,0,0,3,0,85,16,15,560000.0
297,3.0,2.0,2540,7200,1.5,0,3,4,940,5,35,64,775000.0
298,2.0,1.0,1040,13100,1.0,0,0,5,0,12,18,20,160000.0
299,3.0,1.5,1380,11130,1.0,0,0,3,0,112,14,2,209950.0
300,3.0,1.75,1640,10762,1.0,0,0,3,510,100,9,26,226500.0
301,5.0,1.75,3000,6000,1.0,0,0,5,1500,58,35,71,380000.0
302,4.0,2.75,2140,13000,1.0,0,0,3,820,97,17,16,409500.0
303,3.0,2.0,1760,6428,1.0,0,0,4,780,82,35,74,690000.0
304,3.0,2.25,1660,8307,1.0,0,0,4,0,101,36,62,405000.0
305,3.0,2.5,1830,13042,2.0,0,0,3,0,109,21,23,375000.0
306,4.0,2.0,2210,8556,1.0,0,1,4,1000,79,35,74,794154.0
307,4.0,1.0,1490,6600,1.0,0,0,3,0,110,6,69,185000.0
308,3.0,1.5,1260,1270,2.0,0,0,3,220,105,35,62,245000.0
309,5.0,4.5,4270,8076,2.0,0,0,3,870,107,19,21,1532500.0
310,4.0,3.5,3900,8391,2.0,0,0,3,0,106,19,21,1040000.0
311,2.0,2.5,1150,1027,3.0,0,0,3,0,108,35,47,425000.0
312,4.0,2.75,2656,21195,2.0,0,0,3,0,114,1,0,495000.0
313,5.0,2.75,2410,5003,1.0,0,0,3,1000,108,35,57,365000.0
314,3.0,2.25,1606,1452,3.0,0,0,3,0,109,35,60,417250.0
315,2.0,1.0,820,681,3.0,0,0,3,0,106,35,47,339950.0
316,2.0,1.0,1540,6872,1.0,0,0,4,720,89,35,58,615000.0
317,3.0,2.75,2090,8354,2.0,0,0,3,0,12,11,11,403000.0
318,5.0,2.5,3160,11470,1.0,0,0,4,1380,71,23,25,980000.0
319,4.0,1.75,1730,8320,1.0,0,0,3,500,104,14,13,258000.0
320,3.0,1.0,1670,4080,1.0,0,0,3,500,111,35,54,533000.0
321,4.0,2.5,2550,4630,2.0,0,0,3,0,105,33,43,537500.0
322,5.0,3.0,3040,9601,1.0,0,0,5,1070,68,23,25,830000.0
323,3.0,1.0,1250,4620,1.5,0,0,4,100,71,35,47,712000.0
324,4.0,2.5,2020,6236,2.0,0,0,3,0,102,0,0,262000.0
325,4.0,2.5,2660,5500,2.0,0,2,3,0,103,16,17,753888.0
326,2.0,1.5,980,5000,2.0,0,0,3,0,103,37,75,134000.0
327,3.0,2.5,1960,8000,1.0,0,0,4,670,77,19,22,402000.0
328,2.0,1.0,720,5040,1.0,0,0,3,0,105,35,49,205000.0
329,2.0,2.5,1360,1349,2.0,0,0,3,310,97,35,53,553650.0
330,2.0,2.0,1870,4950,1.0,0,0,3,0,106,31,32,559950.0
331,4.0,1.5,2130,8800,1.0,0,0,3,1030,103,18,20,260000.0
332,4.0,2.5,1810,6509,2.0,0,0,3,0,94,18,26,270000.0
333,2.0,1.75,2200,89298,1.0,0,0,3,1100,113,16,15,295000.0
334,3.0,2.5,1690,4500,1.5,0,1,4,0,28,35,55,719000.0
335,3.0,2.5,1940,8547,1.0,0,0,3,480,89,18,18,266000.0
336,4.0,2.5,2320,6270,2.0,0,0,3,0,103,18,26,325900.0
337,4.0,1.75,2060,26036,1.0,0,0,4,900,88,26,68,647500.0
338,4.0,1.0,3410,5000,2.0,0,0,5,1220,10,35,64,1039000.0
339,4.0,2.25,2250,41688,2.0,0,0,3,0,80,31,32,569000.0
340,3.0,1.75,1390,7399,1.0,0,0,4,0,75,18,19,246000.0
341,2.0,1.0,1060,4960,1.0,0,0,3,0,103,35,47,515000.0
342,3.0,1.0,1490,8995,1.0,0,0,4,0,79,35,69,207000.0
343,4.0,1.75,2480,9195,1.0,0,0,3,1090,105,3,3,780000.0
344,5.0,2.25,2440,20828,1.5,0,0,4,0,75,18,26,489990.0
345,3.0,1.5,2240,87625,1.5,0,0,2,760,80,1,45,335000.0
346,3.0,2.5,1920,7229,2.0,0,0,3,0,93,14,2,295000.0
347,3.0,1.75,1890,9920,1.0,0,0,3,660,44,35,60,385000.0
348,4.0,1.75,2250,13515,1.0,0,0,4,100,101,18,18,350000.0
349,2.0,1.0,1270,3008,1.0,0,0,4,620,23,35,57,235000.0
350,2.0,1.5,960,1808,2.0,0,0,3,0,93,35,59,358000.0
351,4.0,2.5,3290,6465,2.0,0,0,3,0,102,33,43,716500.0
352,4.0,1.75,2000,6120,1.0,0,0,3,900,93,35,71,228000.0
353,2.0,1.0,1020,8155,1.0,0,0,4,0,48,35,70,405000.0
